Job request,Added to calendar manually,Clients,Status,Timechunk,Scheduled,Last touched date,Days since last touched,Notes,Due date,People,Attachment
Banzai/FirstActTV,,Donald Whittier,WAITING ON,2 hours,,7/23/2025,186,"- Business Model Blueprint: https://docs.google.com/document/d/1LMlVcbOL980zvQcEODjrqfYFGZMTCqZhaCCmbkEL9AY/edit?tab=t.0
- One-pager content: https://docs.google.com/document/d/1eOl4NGsBlNbo6sQBjmI_P1BMX-QzbG4cd-nntnW3qvI/edit?tab=t.0#heading=h.2gud7ko9zmjn ",,,
"""Live Young"" lifestyle brand",,Donald Whittier,WAITING ON,1 hour,,7/23/2025,186,"- They’re considering launching a clothing brand called “Live Young” as an alternative to the typical tourist t-shirt market in Cabo. The concept echoes Life is Good, with an organic, vacation-inspired aesthetic that isn’t party-centric.
- They envision “Live Young” expanding into a lifestyle mark or rating for experiences, similar to a Michelin star, where brands could seek a “Live Young” stamp of approval or have commercials produced that align with the ethos.",,,
Booking platform for Model Society,,Model Society (David Bollt),WAITING ON,2 hours,,7/29/2025,180,"- https://docs.google.com/document/d/1-VKr11XCfvZpBiycdkjXjZJEnkRWsC5ZfOFxDqj9tcI/edit?tab=t.0#heading=h.tqw8j4btep1q
- Memberstack, Claude code & Webflow cloud: https://youtu.be/2h0YN9HgUTg?si=xHVc7kB0KitXDfpE",,,
Lancet commission website,,UNC Gillings,WAITING ON,3 hours,,9/16/2025,131,"- Updates email: https://app.sparkmailapp.com/web-share/OLOLUeVimiAMKn_5IAYU_H86QZz7b1ZctC1cYay0 
- Website skeleton: https://docs.google.com/document/d/11vZRM5wlkfGazfztsWrjN0mwBaNjXairvpihg_SH9Kk/edit",4/1/2026,Branson Moore,
Kuel life strategy,,Kuel Life (Jack Perez),WAITING ON,3 hours,,9/19/2025,128,,,,
Banzai - Alex database ,,Donald Whittier,WAITING ON,2 hours,,10/3/2025,114,To-do list: https://docs.google.com/document/d/1G2vwQ-Aewphvqq5z0bg9YTRZCL6yTOx7BzqVUly_g8o/edit?tab=t.0#heading=h.9muizu13w97 ,,,
Roadmap for a lead-free future document (post-feedback),,Water Institute ,WAITING ON,3 hours,,10/8/2025,109,"Fw: Revised Roadmap
needs it before the conference ",10/20/2025,,
Continuum ancestors,,Continuum,WAITING ON,2 hours,,10/18/2025,99,"from Claudia Zama: ""CTA’s Ancestors"" and ""Continents filter""",,,
Water Institute website refresh with Catherine,,Water Institute ,WAITING ON,1 hour,,11/2/2025,84,"""2025 website refresh""",,,
BCIF continuation? (Nil Tavsanoglu),,Brevet,WAITING ON,1 hour,,11/13/2025,73,,,,
Selfcare Jeremy collab,,SelfCare (Sue Riffel),WAITING ON,1 hour,,11/14/2025,72,"""Introductions and access to""",,,
SelfCare web view redesign project (Akron),,SelfCare (Sue Riffel),WAITING ON,1 hour,,11/17/2025,69,"""Screens for Akron Children's""		",,,
Definian SEO (actionable items from TTC),,Definian (formerly Premier),WAITING ON,2 hours,,11/25/2025,61,,,,
Banzai team dashboard,,Donald Whittier,WAITING ON,2 hours,,11/26/2025,60,"subject ""Folders"" from banzai.loscabos@gmail.com	",,,
Model Society onboarding flow?,,Model Society (David Bollt),PAUSED/FUTURE,2 hours,,,NaN,https://designerup.co/blog/i-studied-the-ux-ui-of-over-200-onboarding-flows-heres-everything-i-learned/,,,
"SelfCare Additional projects (app factory layout updates, booth screens designs, homunculus)",,SelfCare (Sue Riffel),PAUSED/FUTURE,2 hours,,4/11/2024,654,,,,
Roofscapes NW vehicle wraps,,Roofscapes NW (Melissa Baldivino),PAUSED/FUTURE,2 hours,,8/22/2024,521,"Subject: ""Questions"" info@roofscapes-nw.com (Melissa Baldivino)
",,,
Water Institute brochure design,,Water Institute ,PAUSED/FUTURE,1 hour,,9/3/2024,509,"Also revive the FedEx Office conversation, subject: ""Quick quote""",,,
Finsweet sync setup for PPP,,UNC Law,PAUSED/FUTURE,2 hours,,10/10/2024,472,,,,
BCIF projects for January 2025 (Q1),,Brevet,PAUSED/FUTURE,1 hour,,10/30/2024,452,"'- Google slides editable (around 15 slides)
- Create a new Wharton Piers landing page on current website
- 4-6 stock photos x $40 apiece
",,,
"Design ""vaccines"" landing page (check with Branson)",,UNC Gillings,PAUSED/FUTURE,1 hour,,11/4/2024,447,"""Yes, this is one of the items that is dependent on the new research strategic plan. The committee meets tomorrow and again in February. I don’t foresee any plans getting set before next spring.""",,,
Tina Patterson tourist lodging website redesign ESTIMATE,,Enchanted Treehouses,PAUSED/FUTURE,1 hour,1/19/2026 3:40pm,11/20/2024,431,https://www.enchantedtreehouses.com/,,,
Sabine Resonant Body landing page for new year-long offering,,Resonant Body (Sabine),PAUSED/FUTURE,2 hours,,12/1/2024,420,"Shooting to have all content to me by 12/1/24
",,,
BCIF 20-page brochure,,Brevet,PAUSED/FUTURE,2 hours,,3/4/2025,327,,,,
"Banzai: Cross-referencing our movies with actors in our database, and vice versa",,Donald Whittier,PAUSED/FUTURE,2 hours,,5/21/2025,249,,,,
Yesenia IE project: Report PDF,,UNC Gillings,LATER?,,,,NaN,https://symposium.foragerone.com/csu-murals2023,,,
UNC Water Institute faculty page upgrade,,Water Institute ,LATER?,,,,NaN,https://symposium.foragerone.com/csu-murals-2022,,,
Gillings strategic marketing plan,,UNC Gillings,LATER?,,,,NaN,Gillings Strat Mktg Plan,,,
Yesenia IE project: Progress report online,,UNC Gillings,LATER?,,,,NaN,"in effect Fall 2024, done by Jan 2024",1/1/2024,,
Cabo Broncos Destinations (for SEO),,Donald Whittier,LATER?,,,,NaN,,,,
Add past digital magazines to platform,,UNC Gillings,LATER?,,,,NaN,,,,
Service excellence Mighty Networks page reskinning,,Service Excellence,LATER?,,,,NaN,,,,
Roofcoach Purpose Vision Values for 2 clients,,Roof Coach,LATER?,,,,NaN,,,,
PPP PR strategy,,UNC Law,LATER?,,,,NaN,Subject: PR strategy,,,
Brevet main website redesign ,,Brevet,LATER?,,,,NaN,Talked with Susan about this in our 3/8 phone conversation about Paramount,,,
Estimate: Kidney stone website with Sheps,,Sheps(Data)+,LATER?,,,,NaN,"Subject line ""Design Work for Kidney Stone Decision Aid Site""",4/22/2024,,
12-page holiday catalog (2024),,Silverstone Jewelers (Kallie Carver),LATER?,,,10/31/2023,817,"Gave her content deadline of mid-October to have final files to the printer by mid November / no later than Thanksgiving

",,,
PPT template Yesenia (use orientation one),,UNC Gillings,LATER?,,,11/7/2023,810,,,,
EB-5 website,,Brevet,LATER?,,,11/24/2023,793,"- Timeline: https://bit.ly/3MVbvan 
- Wednesday, Oct 11 - content document sent
- 8 weeks from content doc sent
- Wednesday, December 6 - launch
",12/6/2023,,
Water Institute Hilton proposal,,Water Institute ,LATER?,,,12/8/2023,779,We are getting ready to submit a proposal next week and I am inquiring to see if you have time to edit and finesse it for submission to the Hilton Foundation. It is approximately 5 pages of text but will have 4-6 photos that need to be included as well as quote/text boxes and a few tables.	,12/8/2023,,
Sheps Central Brand strategy & strategic messaging,,Sheps Center,LATER?,,,12/14/2023,773,"Include overall plan after strategy, with an overall deadline of end of fiscal year, June 30, 2024. $10K estimate (subject: ""Estimate for Sheps Brand Strategy/Strategic Messaging"")",,,
Linguana for Continuum (2026?),,Continuum,LATER?,,,2/7/2024,718,"Subject: ""New better/cheaper translation service!""",,,
Silver compassion website,,Silver Compassion / Life Compass Living (George Fuller),LATER?,,,2/15/2024,710,,2/22/2024,,
Kallie Mother's Day post card,,Silverstone Jewelers (Kallie Carver),LATER?,,,2/18/2024,707,,5/1/2024,,
Will's last 2 one-pagers,,UNC Gillings,LATER?,2 hours,,2/20/2024,705,,,Will Frazier,
Roofscapes website redesign,,Roofscapes NW (Melissa Baldivino),LATER?,,,3/6/2024,690,"Email subject: ""Questions""",,,
UNC Diversity,,UNC Diversity,LATER?,,,3/14/2024,682,Call UNC Diversity at 919-843-6086 (Theodore's partner suffered a traumatic brain injury),,,
FirstActTV website,,Donald Whittier,LATER?,,,3/15/2024,681,https://docs.google.com/document/d/1eOl4NGsBlNbo6sQBjmI_P1BMX-QzbG4cd-nntnW3qvI/edit,,,
Kim Ramsey-White work for new report (Fall 2024),,UNC Gillings,LATER?,,,7/29/2024,545,https://app.sparkmailapp.com/web-share/frBry6qCe4skcqXo7sUCEDrTTKm--pkf_MprwDqL,,,
Janet book project,,Janet Kagan,LATER?,2 hours,,9/3/2024,509,"""The book project had to take a back seat to another project. My motivation for publishing (digitally) a series of essays can now hopefully resume this Fall.""",,,
Salesforce email template,,UNC Gillings,LATER?,2 hours,,9/13/2024,499,,,Will Frazier,
Eric Gertler website redesign,,Ainsworth & Associates,LATER?,2 hours,,9/17/2024,495,,,Vicki Elkins,
Cali Wilson - Possible client from Dan (Allarium),,Mindset Playground,LATER?,1 hour,,10/1/2024,481,,,,
Aiden design projects,,Aiden Dale,MAYBE,,,,NaN,https://bit.ly/3GXqyfL,,,
Website redesign,,Environ supply,MAYBE,,,,NaN,,,,
Misc small projects,,Life Compass Living,MAYBE,,,,NaN,George Fuller,,,
Website updates?,,Janet Kagan,MAYBE,,,,NaN,,,,
Website redesign,,CultursMag.com,MAYBE,,,,NaN,,,,
Cliff Cottage trips section,,Cliff Cottage,MAYBE,,,,NaN,Justin Robins,,,
TOC sales tool,,Takeout Central,MAYBE,,,,NaN,,,,
Website redesign,,Madden's Seafood,MAYBE,,,,NaN,Charles,,,
Brian Murray Strategic Messaging,,Brian Murray,MAYBE,,,,NaN,,,,
Website development,,Data Animated,MAYBE,,,,NaN,Jim Wheaton & Paul,,,
Carver & Co. Jewelers (rebrand),,Silverstone Jewelers (Kallie Carver),MAYBE,,,,NaN,"Gave her content deadline of mid-October to have final files to the printer by mid November / no later than Thanksgiving

",,,
Jake Stallard recruiting ads,,UNC Gillings,MAYBE,,,,NaN,Subject: Recruiting ads,,,
Burk website updates,,Burk Uzzle,MAYBE,1 hour,,7/8/2024,566,,,,
OIE annual reports edits,,CSU OIE Inclusive Excellence ColoState,DONE,,,,NaN,"Oct 5 (Thu) lunch = BOG
https://drive.google.com/drive/folders/1uBYoGBAdsrCnflE5cznmKo1gJ1ncS4SF
",10/5/2023,,
Sheps IT poster,,Sheps(Data)+,DONE,,,,NaN,,10/9/2023,,
Hardcopy program (64pgs),,Water Institute ,DONE,,,,NaN,"'- Kaida getting quotes for printer turnaround time
- Deadline: Monday, 10/9
- Things she doesn't like about previous program
    - no wasted space
    - consistent photos
    - Alignment of bios/headshots
    - Blank notes section
    - This program belongs to ...
    - Same cover, but new photo in drop (hand-washing one)
    - Likes color-coding",10/9/2023,,
HOpp Mailerlite automation,,H Opp,DONE,,,,NaN,,,,
Cabo Bronco AdWords,,Donald Whittier,DONE,,,,NaN,,,,
Flurry holiday projects,,Definian (formerly Premier),DONE,,,,NaN,"""End of october""
- Friday December 8 - holiday party 7-10p
- Details: https://app.sparkmailapp.com/web-share/dEiXSs5TOjOwGbJ93CuGosawROOEyK7oYcDsIHqe ",11/3/2023,,
Burk mailer,,Burk Uzzle,DONE,,,,NaN,,,,
New client stuff & collage,,Roof Coach,DONE,,,,NaN,,,,
Template for Flyers,,CSU OIE Inclusive Excellence ColoState,DONE,,,,NaN,"- will develop template for all by designing paraphernalia for the first event
- Event flyer & save the date email - 4x/year",,,
Yesenia IE project: 10-15 slides PPT,,UNC Gillings,DONE,,,,NaN,"- Oct 12 - public presentation on plan
- Dean’s council - Oct 18
",10/12/2023,,
T4 6 new services pages,,T4 Associates,DONE,,,,NaN,,,,
"Simplify landing page, cheaper hosting",,HR Hollis Curtis,DONE,,,,NaN,,,,
Continuum MailerLite DMARC,,Continuum,DONE,,,,NaN,,,,
Banzai poster (receptionista),,Donald Whittier,DONE,,,,NaN,,,,
Water Institute Conf page update & Abstract Portal,,Water Institute ,DONE,,,,NaN,,,,
Premier Client Feedback Survey,,Definian (formerly Premier),DONE,,,,NaN,Typeform,,,
T4 link to client area ,,T4 Associates,DONE,,,,NaN,,,,
Cabo Broncos enhanced conversions for Google Ads,,Donald Whittier,DONE,,,,NaN,https://support.google.com/google-ads/answer/13258081,,,
Look for bucket list and the Cabo broncos club on previous versions of website (pre December 2023,,Donald Whittier,DONE,,,,NaN,,,,
Google local for Cabo broncos,,Donald Whittier,DONE,,,,NaN,,,,
GLFW.org new sponsors (Kaida),,Water Institute ,DONE,,,,NaN,,,,
Bronco RAV4 & Sport page $1200/wk,,Donald Whittier,DONE,,,,NaN,,,,
HPM AUPHA2024 ads,,UNC Gillings,DONE,,,,NaN,,,,
CSU OIE google slides template update,,CSU OIE Inclusive Excellence ColoState,DONE,,,,NaN,,,,
Behavioral Health spread on one-pager (Meg),,UNC Gillings,DONE,,,,NaN,"For the folks at Region 7
",,,
Soccer flurry,,Definian (formerly Premier),DONE,,,,NaN,,,,
Sue Riffel trade show banner stands,,SelfCare (Sue Riffel),DONE,,,,NaN,,,,
Premier Flurry 4 color,,Definian (formerly Premier),DONE,,,,NaN,,,,
Practice Progress Tracker updates ,,UNC Gillings,DONE,,,,NaN,Delete all other ,,,
Contact Chai Core,,Adrial Designs,DONE,1 hour,,,NaN,,,,
Movie poster,,Donald Whittier,DONE,,,,NaN,"Designed by Wednesday
",,,
Cabo broncos google ads and info@ not working?,,Donald Whittier,DONE,,,,NaN,,,,
T4 hubspot UTM project,,T4 Associates,DONE,1 hour,,,NaN,,,,
Cliff cottage July email,,Cliff Cottage,DONE,2 hours,,,NaN,,7/17/2025,,
Premier @ 40 LinkedIn graphics x 5,,Definian (formerly Premier),DONE,,,,NaN,,,,
OIE website updates,checked,CSU OIE Inclusive Excellence ColoState,DONE,1 hour,,,NaN,"'- By Tuesday
- Take away most groups (details coming) 
- Delete ""all groups"" page
- Redirect all groups to homepage
- Unpublish all group Airtable forms",,,
6x9 flyer,,Silverstone Jewelers (Kallie Carver),DONE,,,10/31/2023,817,"Content: https://bit.ly/49qFqRt
	",11/15/2023,,
Flurry downloads page,,Definian (formerly Premier),DONE,,,11/2/2023,815,,,,
Cabo Broncos tours video,,Donald Whittier,DONE,,,11/2/2023,815,,,,
Topline purpose/values,,Roof Coach,DONE,,,11/3/2023,814,,11/10/2023,,
"APHA Gillings overview brochure edits (Nancy, etc.)",,UNC Gillings,DONE,,,11/4/2023,813,"APHA is on nov. 12
",11/9/2023,,
Lead magnet,,Roofscapes NW (Melissa Baldivino),DONE,,,11/7/2023,810,,,,
"Continuum database update (Subject: ""Hybrid Event Posting Question"")",,Continuum,DONE,,,11/7/2023,810,,,,
JAE jewelry mailer,,JAE,DONE,,,11/10/2023,807,Elizabeth French ,,,
Karissa family photos,,UNC Gillings,DONE,,,11/10/2023,807,,,,
All Premier logos on logo portal,,Definian (formerly Premier),DONE,,,11/18/2023,799,,,,
Impact Report Magazine EMAIL,,UNC Gillings,DONE,,,11/28/2023,789,"Timeline:
https://bit.ly/3PF7NTZ",,,
CSU PPT template,,CSU OIE Inclusive Excellence ColoState,DONE,,,11/29/2023,788,"Kyle - PPT envy
- Transition/divider slide (moving from one section to another)
- Simple background for data tables
- Cover slide
- Text-based slide
- Ending/CTA slide
- A few pictures on a slide (pic left/text right, then switch)
- Video link: https://landacknowledgment.colostate.edu/ ",,,
Gillings Will IE edits,,UNC Gillings,DONE,,,11/29/2023,788,,,,
W9 and other docs,,UNC Gillings,DONE,,,11/29/2023,788,,,,
Add a value to Mills,,Roof Coach,DONE,,,11/30/2023,787,,,,
DaVinci case studies,,DaVinci Education,DONE,,,12/1/2023,786,"- All 4 latest: https://drive.google.com/drive/folders/1fZVHYr62NdgaqhFcUTYk5FpxYXwl7NV6 
- Start static design of sample case study template page with Orlando
- Change “client partners” wording in navigation to ""client successes"" and move to under ""DaVinci Difference” dropdown menu
- For overview page where we show all case studies, instead of current ""client partners"" page layout, use same grid layout as our current resources page
- To keep quotes fresh, create a ""testimonials"" widget that will cycle out new testimonials right above or below the call to action on all pages: https://www.screencast.com/t/84gMhOaDZ",,,
Gillings print & digital magazine ,,UNC Gillings,DONE,,,12/2/2023,785,,,,
T-shirt project,,UNC Gillings,DONE,,,12/7/2023,780,"2 different T-shirts (future of PH, prevent/promote/prolong)
",,,
Burk web updates,,Burk Uzzle,DONE,,,12/15/2023,772,,,,
Premier website update,,Definian (formerly Premier),DONE,,,12/29/2023,758,,1/12/2024,,
Penny website ,,"""UNC Obesity Biology, Behavior & Environment Group""",DONE,,,1/2/2024,754,,,,
Roof coach Mighty Networks,,Roof Coach,DONE,,,1/2/2024,754,,,,
Premier 2024 theme,,Definian (formerly Premier),DONE,,,1/2/2024,754,"'- Momentum - elevate - level up
- Unleash (large) our full potential (smaller)
- due by latest January 26",1/26/2024,,
Premier Salesforce integration,,Definian (formerly Premier),DONE,,,1/5/2024,751,"Separate first and last name fields on contact form, and connect accordingly to Salesforce via Zapier.	",1/12/2024,,
Gillings homepage redesign,,UNC Gillings,DONE,,,1/13/2024,743,,,,
New 1-pagers for donations (Will),,UNC Gillings,DONE,,,1/15/2024,741,Will,,,
Schoolwide Faculty Awards,,UNC Gillings,DONE,,,1/30/2024,726,"Meg: These are monetary awards/honors that are given to faculty each year, and the school wants to start giving them pomp and circumstance. We do send nicely designed emails about the winners, but they would like the whole kit-n-kaboodle – branding, flyers, emails, e-screens, etc.",1/28/2024,,
Gillings Engage flyers etc.,,UNC Gillings,DONE,,,1/30/2024,726,,,,
H Opp Neuron Writer articles,,H Opp,DONE,,,1/31/2024,725,https://docs.google.com/spreadsheets/d/1IbJf3L3QZCWyTGx1zsijy59RR5DuDb-U5YwEkwCNDjc/edit,,,
Premier/IA 301 redirects with Lauren,,Definian (formerly Premier),DONE,,,2/8/2024,717,,,,
Gillings + FHI360 one-pager,,UNC Gillings,DONE,,,2/19/2024,706,,,,
Writing PPT for Meg,,UNC Gillings,DONE,,,2/19/2024,706,"Feb 19: ""No rush on the writing one. I presented it today, which is why I remembered to give it to you, but I probably won’t give it again for a few months.""
",4/19/2024,,
Premier email sigs,,Definian (formerly Premier),DONE,,,2/27/2024,698,,,,
"""Premier Wins!"" email structure",,Definian (formerly Premier),DONE,,,2/27/2024,698,,,,
Premier PPT slides,,Definian (formerly Premier),DONE,,,2/29/2024,696,Design slides with Steve & Kunal	,,,
Alliance Sales Guide,,Alliance CC,DONE,,,3/7/2024,689,,,,
Public Health Fellowship one-pager (Matthew),,UNC Gillings,DONE,,,3/11/2024,685,https://docs.google.com/document/d/1XGeUbyAK7AXt6xHN0YV92l_TfSJXcHyx6mAJn7aeonM/edit,,,
Continuum 3 teachers on events,,Continuum,DONE,,,3/12/2024,684,https://app.sparkmailapp.com/web-share/6GUbuo0vKpOnOUIfuURNlDbkmfMmF0lEdjpJLtrf,,,
Silver Compassion PDF design (Trailblazer brochure),,Silver Compassion / Life Compass Living (George Fuller),DONE,,,3/12/2024,684,"https://docs.google.com/document/d/1lRaGoJX0MzSOMApl0itAa92EOymj1KvlMyBxXjJrVjU/edit
",,,
3 icons for Cabo insta,,Donald Whittier,DONE,1 hour,,3/12/2024,684,,,,
Premier FinTech lander for Lauren,,Definian (formerly Premier),DONE,,,3/13/2024,683,,,,
Innovation@Gillings logo & badge (Anne Glauber),,UNC Gillings,DONE,,,3/13/2024,683,"From Branson: ""Anne is interested in a graphic/logo that represents some of the accomplishments and work done in our School. We recommended your work because it aligns with similar projects (Inclusive Excellence logo) that need to represent elements of the school without mentioning UNC or Gillings.""
",,,
Sue Riffel Self Care app,,SelfCare (Sue Riffel),DONE,,,3/15/2024,681,,,,
Roofscapes NW 10-year anniversary banner,,Roofscapes NW (Melissa Baldivino),DONE,,,4/8/2024,657,,,,
ESE bookmark (Tamiyah),,UNC Gillings,DONE,,,4/8/2024,657,,,,
Bridgette flyer (May 3),,CSU OIE Inclusive Excellence ColoState,DONE,,,4/8/2024,657,,4/5/2024,,
Paramount invitations (Maryana),,Ainsworth & Associates,DONE,,,4/8/2024,657,digital and print products for Paramount Club,,,
Part 2 of school wide awards project (Meg),,UNC Gillings,DONE,,,4/10/2024,655,Posters for hallway,,,
Master Roofing business cards,,Master Roofing (Mattie),DONE,,,4/15/2024,650,,,,
Gillings CPH magazine 2024,,UNC Gillings,DONE,,,4/19/2024,646,https://www.notion.so/dowh/83f319a224204ac9ab7d5dced514097a?v=d5a13e4e5d7347179247b47b3760f542&pvs=4,4/5/2024,,
Renovus tech forum assets,,Definian (formerly Premier),DONE,,,4/23/2024,642,,,,
3 Gillings 33x81 banners,,UNC Gillings,DONE,,,5/2/2024,633,Jim Ervin,,,
Cabo Broncos website add testimonials,,Donald Whittier,DONE,3 hours,,5/7/2024,628,"
- Add testimonials",,,
DaVinci website updates part 2,,DaVinci Education,DONE,,,5/24/2024,611,,,,
Water Institute sponsorship flyer,,Water Institute ,DONE,,,7/2/2024,572,,,,
Premier page speed optimization ,,Definian (formerly Premier),DONE,,,7/8/2024,566,,,,
Premier delete logo project and add all offering icons to logo portal,,Definian (formerly Premier),DONE,,,7/9/2024,565,,,,
Gillings Mailerlite templates to new builder,,UNC Gillings,DONE,1 hour,,7/10/2024,564,"Our meeting to discuss internal comms got pushed to August. That being said, I think you can work on a straight rebuild of a couple of templates into the new builder: the ESE weekly newsletter and the From Carolina Public Health newsletter. No changes to the look/design would be necessary. Would that be enough to get started?",,,
